"ПРОМЫШЛЕННАЯ УЛ., д.12","81,4\38,5",60\39,-26\1
"ПРОМЫШЛЕННАЯ УЛ., д.26",116\68,114\67,-2\-1
"ПРОМЫШЛЕННАЯ УЛ., д.28",74\37,61\30,-18\-19
"ПРОМЫШЛЕННАЯ УЛ., д.30",44\13,93\15,111\15
"ПРОМЫШЛЕННАЯ УЛ., д.34",69\42,45\28,-35\-33
"ПРОМЫШЛЕННАЯ УЛ., д.36",31\16,24\12,-23\-25
"ПРОМЫШЛЕННАЯ УЛ., д.38",19\4,16\63,-16\1475
"СЕВАСТОПОЛЬСКАЯ УЛ., д.6",90\45,53\27,-41\-40
"СЕВАСТОПОЛЬСКАЯ УЛ., д.34",42\45,37\23,-12\-49
"СЕВАСТОПОЛЬСКАЯ УЛ., д.43",16\24,98\21,513\-13
"СТАЧЕК ПР., д.1","1011,6\212",1001\100,-1\-53
"СТАЧЕК ПР., д.2/2",107\40,85\46,-21\15
"СТАЧЕК ПР., д.4/1",154\93,126\79,-18\-15
"СТАЧЕК ПР., д.6",55\79,"52,4\83",-5\5
"СТАЧЕК ПР., д.8/2",32\28,14\22,-56\-21
"СТАЧЕК ПР., д.8А","157,2\0","111,6\0",-29\-
"СТАЧЕК ПР., д.9",587\389,"549\356,4",-6\-8
"СТАЧЕК ПР., д.10","103,4\130,9",144\116,39\-11
"СТАЧЕК ПР., д.11","152,52\221",128\204,-16\-8
"СТАЧЕК ПР., д.15","26,4\20,9",12\16,-55\-23
"СТАЧЕК ПР., д.17","691,6\341","607,2\227",-12\-33
"СТАЧЕК ПР., д.19",707\396,482\263,-32\-34
"СТАЧЕК ПР., д.21",2080\825,"2037,3\783",-2\-5
"СТАЧЕК ПР., д.22",76\98,109\113,43\15
"СТАЧЕК ПР., д.22А","886,17\825",890\328,0\-60
"СТАЧЕК ПР., д.23",1075\494,"917,8\451,5",-15\-9
"СТАЧЕК ПР., д.24",67\45,92\57,37\27
"СТАЧЕК ПР., д.27","46,5\45",34\31,-27\-31
"СТАЧЕК ПР., д.29",223\143,"196,9\136,4",-12\-5
"СТАЧЕК ПР., д.33/2",29\38,19\32,-34\-16
"СТАЧЕК ПР., д.34, корп.1",228\125,263\139,15\11
"СТАЧЕК ПР., д.34, корп.2",29\14,26\14,-10\0
"СТАЧЕК ПР., д.35",34\43,85\22,150\-49
"СТАЧЕК ПР., д.38",7\3,8\4,14\33
"СТАЧЕК ПР., д.41",312\226,588\381,88\69
"СТАЧЕК ПР., д.42",4\22,22\34,450\55
"СТАЧЕК ПР., д.95, корп.1",2192\1199,"2176,2\1146,15",-1\-4
"СТАЧЕК ПР., д.101, корп.1А","1394,9\781","1401,84\734",0\-6
"СТАЧЕК ПР., д.101, корп.1Б","700,2\567","667,2\519,2",-5\-8
"СТАЧЕК ПР., д.101, корп.1В",2155\1210,2076\1149,-4\-5
"СТАЧЕК ПР., д.101, корп.1Г","776\660,5","763,35\648,8",-2\-2
"СТАЧЕК ПР., д.101, корп.1Д",1174\723,1098\659,-6\-9
"СТАЧЕК ПР., д.102","60,5\10",64\9,6\-10
"СТАЧЕК ПР., д.103, корп.1","1308,8\1487","1267,15\1484,7",-3\0
"СТАЧЕК ПР., д.105, корп.2А","775,2\498",709\471,-9\-5
"СТАЧЕК ПР., д.105, корп.2Б","1572,7\1277,6","1573,96\1029",0\-19
"СТАЧЕК ПР., д.105, корп.2В",2400\1044,2061\915,-14\-12
"СТАЧЕК ПР., д.105, корп.2Г","781,3\777,6","610\734,4",-22\-6
"СТАЧЕК ПР., д.105, корп.2Д","2235,5\1491,8","1932,48\1327",-14\-11
"СТАЧЕК ПР., д.105, корп.2Е","1262,784\697,2","1208,6\591",-4\-15
"СТАЧЕК ПР., д.105, корп.2Ж","2513,8\1232,01","2526,68\1111",1\-10
"СТАЧЕК ПР., д.105, корп.2З","1073,85\891,6","884,89\746",-18\-16
"СТАЧЕК ПР., д.107, корп.1","1486,3\608,3","1304,38\595",-12\-2
"ТРАКТОРНАЯ УЛ., д.3",47\78,72\90,53\15
"ТРАКТОРНАЯ УЛ., д.4",75\46,57\37,-24\-20
"ТРАКТОРНАЯ УЛ., д.4А","72,6\86,9",76\84,5\-3
